# fps=15.00 width=1280 height=720
# song=res://songs/Cartoon, Jéja - On & On (feat. Daniel Levi) [NCS Release].mp3
nose_x,nose_y,nose_c,left_eye_x,left_eye_y,left_eye_c,right_eye_x,right_eye_y,right_eye_c,left_ear_x,left_ear_y,left_ear_c,right_ear_x,right_ear_y,right_ear_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,right_elbow_x,right_elbow_y,right_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,right_wrist_x,right_wrist_y,right_wrist_c,left_hip_x,left_hip_y,left_hip_c,right_hip_x,right_hip_y,right_hip_c,left_knee_x,left_knee_y,left_knee_c,right_knee_x,right_knee_y,right_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_ankle_x,right_ankle_y,right_ankle_c
731,279,0.996,763,249,0.990,708,249,0.979,815,259,0.876,683,260,0.623,908,408,0.991,636,414,0.985,1079,564,0.926,502,542,0.886,1036,390,0.957,477,393,0.931,875,720,0.374,709,720,0.349,837,569,0.026,677,595,0.025,723,547,0.004,599,599,0.004
736,279,0.996,768,249,0.990,712,249,0.979,819,259,0.876,686,261,0.633,913,408,0.991,637,416,0.985,1083,568,0.922,501,547,0.882,1041,391,0.953,480,390,0.926,878,720,0.371,711,720,0.347,835,572,0.026,679,600,0.025,718,549,0.004,610,604,0.004
739,278,0.996,771,250,0.989,715,248,0.977,821,261,0.865,689,259,0.636,917,409,0.991,638,415,0.985,1085,563,0.914,502,544,0.880,1048,392,0.948,481,390,0.925,883,720,0.341,714,720,0.324,831,568,0.024,676,591,0.023,697,546,0.004,597,599,0.004
742,280,0.996,774,250,0.990,718,249,0.980,825,262,0.870,692,260,0.645,919,411,0.990,641,415,0.984,1088,561,0.914,507,544,0.879,1049,386,0.949,482,395,0.925,882,720,0.335,712,720,0.317,840,564,0.024,671,587,0.023,714,545,0.004,594,595,0.004
745,280,0.996,777,251,0.989,721,250,0.980,827,262,0.866,693,261,0.667,919,412,0.991,641,416,0.986,1087,559,0.917,507,541,0.889,1052,392,0.949,482,391,0.929,879,720,0.366,710,720,0.351,838,572,0.025,671,592,0.025,709,551,0.004,594,597,0.004
746,279,0.996,779,250,0.989,723,249,0.979,828,264,0.867,696,261,0.654,920,411,0.991,642,413,0.986,1088,563,0.917,506,542,0.889,1055,394,0.948,481,393,0.927,881,720,0.370,711,720,0.355,836,573,0.025,670,593,0.025,711,553,0.004,597,601,0.004
753,279,0.996,784,249,0.989,728,249,0.981,833,261,0.874,699,261,0.689,924,414,0.991,642,416,0.987,1089,554,0.908,499,520,0.885,1062,393,0.936,466,366,0.916,882,720,0.356,713,720,0.349,828,562,0.025,676,589,0.025,694,545,0.004,623,595,0.004
759,279,0.996,791,250,0.988,735,248,0.980,838,260,0.871,705,257,0.695,927,410,0.991,641,413,0.990,1102,533,0.912,486,492,0.907,1073,371,0.939,428,333,0.926,887,720,0.377,716,720,0.389,839,545,0.025,683,581,0.027,708,519,0.004,643,583,0.004
765,276,0.997,798,248,0.990,742,244,0.984,845,259,0.880,711,253,0.693,936,406,0.991,648,405,0.990,1130,501,0.919,482,444,0.921,1090,330,0.947,380,296,0.935,903,720,0.372,730,720,0.399,859,531,0.024,688,575,0.027,726,497,0.004,636,575,0.004
767,277,0.997,800,248,0.990,744,246,0.982,850,259,0.865,713,254,0.635,942,402,0.988,656,412,0.985,1150,475,0.911,475,431,0.899,1080,304,0.947,355,289,0.923,912,720,0.264,741,720,0.278,876,501,0.020,694,563,0.022,726,469,0.005,599,565,0.004
774,276,0.997,808,250,0.992,751,245,0.984,856,263,0.876,717,255,0.611,946,391,0.987,661,409,0.985,1175,442,0.920,475,423,0.905,1037,296,0.959,328,291,0.934,917,717,0.280,746,719,0.293,884,502,0.021,701,554,0.022,747,477,0.004,586,566,0.004
782,277,0.996,815,251,0.987,759,244,0.979,858,263,0.841,723,252,0.613,956,385,0.981,658,411,0.988,1161,418,0.883,488,442,0.925,997,277,0.944,343,308,0.944,933,720,0.341,749,720,0.408,876,548,0.021,690,577,0.027,728,525,0.003,632,597,0.004
781,275,0.996,815,250,0.988,759,244,0.978,860,263,0.860,724,253,0.596,960,384,0.981,659,413,0.988,1161,415,0.886,491,445,0.917,994,273,0.942,339,308,0.935,932,720,0.350,747,720,0.405,877,547,0.021,688,575,0.027,730,524,0.003,644,595,0.004
783,276,0.996,816,251,0.986,761,244,0.977,861,263,0.848,726,253,0.599,958,384,0.981,659,412,0.987,1161,412,0.882,492,448,0.918,984,273,0.942,345,317,0.938,925,720,0.349,743,720,0.408,870,549,0.021,686,575,0.027,719,526,0.003,633,595,0.004
782,277,0.996,816,253,0.988,761,243,0.979,861,264,0.849,726,248,0.594,952,382,0.981,657,408,0.987,1158,411,0.894,492,448,0.922,982,276,0.951,346,317,0.944,923,720,0.381,741,720,0.435,881,563,0.022,687,591,0.028,748,530,0.003,632,609,0.004
779,275,0.997,816,253,0.992,761,243,0.980,863,274,0.886,727,254,0.451,938,386,0.981,671,408,0.982,1163,400,0.927,479,437,0.906,969,255,0.963,325,306,0.925,918,720,0.457,752,720,0.464,881,600,0.040,667,624,0.036,855,566,0.008,588,633,0.007
776,278,0.997,812,254,0.991,757,244,0.982,856,269,0.862,722,252,0.553,934,386,0.982,664,408,0.980,1150,373,0.916,468,391,0.894,981,205,0.964,352,259,0.939,926,719,0.254,763,720,0.265,880,498,0.021,713,547,0.021,768,482,0.005,599,580,0.004
771,278,0.996,805,252,0.987,750,244,0.976,848,261,0.820,714,247,0.560,927,389,0.982,655,411,0.978,1125,345,0.918,471,364,0.892,1026,155,0.963,407,213,0.943,929,720,0.288,768,720,0.293,870,503,0.021,733,560,0.021,742,483,0.004,642,583,0.004
765,279,0.995,799,251,0.986,742,245,0.974,849,263,0.790,710,252,0.523,920,393,0.970,653,404,0.955,1108,342,0.884,471,355,0.816,1037,131,0.944,437,178,0.910,941,720,0.229,775,720,0.223,970,536,0.017,791,572,0.016,907,539,0.003,713,601,0.003
754,281,0.995,788,254,0.988,731,248,0.978,839,266,0.801,701,253,0.568,904,392,0.977,645,394,0.954,1082,335,0.912,475,352,0.809,1061,108,0.948,495,171,0.905,924,720,0.312,760,720,0.273,965,564,0.023,793,594,0.019,914,559,0.004,716,614,0.003
750,281,0.995,784,255,0.988,728,248,0.977,833,267,0.799,698,252,0.592,899,392,0.981,641,388,0.955,1072,344,0.922,473,354,0.806,1074,110,0.949,520,181,0.903,918,717,0.335,755,720,0.282,960,564,0.024,797,593,0.020,898,554,0.004,717,610,0.003
740,283,0.996,774,257,0.989,718,250,0.977,823,273,0.794,689,256,0.579,886,397,0.985,633,381,0.955,1068,365,0.943,464,354,0.832,1098,126,0.965,558,222,0.928,905,717,0.371,744,720,0.306,935,543,0.026,785,583,0.020,894,523,0.004,692,592,0.003
735,286,0.995,769,260,0.987,714,252,0.972,820,271,0.786,686,253,0.545,883,398,0.986,628,378,0.951,1064,374,0.947,460,353,0.822,1101,146,0.967,560,227,0.925,894,720,0.354,734,720,0.279,920,527,0.024,777,571,0.019,866,506,0.004,682,581,0.003
733,286,0.995,767,258,0.988,712,250,0.974,820,269,0.787,685,252,0.542,884,397,0.983,630,381,0.948,1063,371,0.937,458,356,0.809,1092,143,0.963,549,219,0.920,895,720,0.321,734,720,0.257,923,539,0.022,774,578,0.018,870,522,0.004,672,592,0.003
733,282,0.995,767,255,0.987,713,248,0.973,819,269,0.807,687,253,0.559,890,392,0.982,629,389,0.953,1074,355,0.915,465,366,0.781,1060,136,0.944,518,190,0.887,899,720,0.298,738,720,0.245,931,558,0.021,795,583,0.017,858,556,0.003,714,612,0.003
